092;Horsetamer;None;Combat;+500;;Long Rider
093;Gurthdur;Good;Combat;+500;;Rangers
094;Glamdring;Good;Combat;+750;;
095;Gildagor;None;Combat;+500;;
096;Fohnrad;None;Combat;+500;;
097;Fire's Edge;Evil;Combat;+750;;Quiet Avenger
098;Elhach;None;Combat;+1000;;
099;Elfhewer;Evil;Combat;+500;;Dragon Lord
100;Elfbane;Evil;Combat;+500;;
101;E Voronwe;Good;Combat;+500;;
102;Durin's Axe;None;Combat;+750;;
103;Durcrist;Good;Combat;+500;;
104;Dawnsword;Evil;Combat;+750;;Cloud Lord
105;Culok;None;Combat;+500;;
106;Cubragol;None;Combat;+500;;Rangers
107;Curaran;None;Combat;+500;;Rangers
108;Craig-olf-Ti;None;Combat;+500;;
109;Cloud Bow;None;Combat;+750;;Cloud Lord
110;Craig-olf-ti;None;Combat;+500;;
111;Believer's Bane;Evil;Combat;+500;;Fire King
112;Burning Bane;None;Combat;+500;;Fire King
113;Ar-Sil;Good;Combat;+750;;
114;Angian;Good;Combat;+500;;
115;Fire Mace;None;Combat;+750;;
116;Blood Spike;None;Combat;+750;;  
117;Hatred Curse;None;Combat;+750;;Dark Lts.
118;Skull Flail;None;Combat;+1000;;Dark Lts.
119;Moon-Axe;None;Combat;+750;;Dark Lts.
120;Amulet of Sea Mastery;None;Open Seas;-;;
121;Troll Slayer;Good;Combat;+750;;Silvan
122;Orc Slayer;Good;Combat;+750;;Silvan
123;Wood-shadow;None;Stealth;+25;;N.Gondor
124;Robes of Aman;Good;Stealth;+25;;Gandalf
125;Aeglin;Good;Combat;+750;;
126;Anarmacil;Good;Combat;+750;;Sinda
127;Aranruth;Good;Combat;+1750;;
128;Aratocam;None;Combat;+1000;;
129;Bow of Thunder and Bone;None;Combat;+500;;
130;Brodic Spear;None;Combat;+500;;
131;Caranlhach;None;Combat;+1750;;  
132;Daeron's Rapier;None;Combat;+1000;;
133;Dagger of Green;None;Combat;+500;;
134;Dagnirdraug;Good;Combat;+750;;
135;Elenruth;None;Combat;+750;;Sinda
136;Foamcleaver;None;Combat;+1500;;
137;Bloodrunner;None;Combat;+750;;Dunlendings
138;Air Cleaver;None;Combat;+750;;Dog Lord
138;Air-cleaver;None;Combat;+500;;Dog Lord
139;Gersebroc;Good;Combat;+750;;
140;Red Robes;None;Command;+20;;B.Sorcerer
141;Hue Changer;None;Combat;+500;;Ice King
142;Kirrauko;Good;Combat;+1250;;
143;Night Piercer;None;Combat;+500;;Quiet Avenger
144;Orcring;Good;Combat;+2250;;
145;Orcruin;Good;Combat;+2250;;
146;Horse-slayer;None;Combat;+500;;Khand
147;Ringil;Good;Combat;+2000;;
148;Sickle of the Heave;None;Combat;+1000;;Dog Lord
149;Sting;Good;Combat;+500;;
150;Stinging Tongue;Evil;Combat;+500;;DrLd
151;Troll-Cleaver;Good;Combat;+2000;;
152;Turantir;Good;Combat;+500;;
153;Water-skimmer;None;Combat;+750;;DrLd
154;Ring of Bleeding;Evil;Mage;+30;;Dragon Lord
155;Taurin;None;Combat;+2000;;Dark Lts.
156;Maranya;None;Mage;+30;;Dark Lts.
157;Pectoral;None;Emissary;+30;;Witch-King
158;Thunder's Edge;Evil;Combat;+1250;;Dog Lord
159;Skull Helm;Evil;Command;+20;;Dog Lord
160;Collar of Command;None;Command;+30;;Dog Lord
161;Erivagil;None;Combat;+1500;;
162;Glosvagil;None;Combat;+1500;;White Wizard 
163;Mirror of Galadriel;Good;Mage;+40;;Sinda
164;Tintelpe;Good;Combat;+1750;;Sinda
165;Cuiviegurth;Evil;Combat;+750;;
166;Calris;Evil;Combat;+750;;
167;Aedring;Good;Combat;+1000;;
168;Ancaruin;Good;Combat;+2250;;
169;Gurthang;Evil;Combat;+2250;;
170;Anguirel;None;Combat;+2250;;
171;Aracu;Good;Combat;+1500;;
172;Axe of Braogha;None;Combat;+750;;
173;Daecollo;None;Stealth;+20;;Daeron
174;Belthronding;Good;Combat;+2250;;
175;Ring of Curufin;None;Agent;+25;;
176;Spear of Blador;None;Combat;+1250;;
177;Calninque;Good;Combat;+1500;;
178;Cubeleg;None;Combat;+750;;
179;Durcarak;Evil;Combat;+1250;;
180;Fuinrako;Evil;Combat;+2000;;
181;Herugrim;Good;Combat;+1000;;Rohan
182;Morgurth;None;Combat;+1000;;
183;Silmaruth;None;Combat;+2000;;
184;Stone Mace;Good;Combat;+500;;
185;Headband of Sla;None;Mage;+10;;
186;Sceptre of Hent;Good;Combat;+750;;
187;The Black Book;None;Mage;+10;;
188;E Mere Vardo;Good;Mage;+10;;
189;The Blue Ring;Evil;Mage;+10;;
190;Staff of the Wander;None;Mage;+15;;
191;Aercrist;None;Combat;+750;;S.Gondor
192;Maikarama;Good;Combat;+750;;
193;Raukambar;Good;Combat;+750;;
194;Darlachiel;Good;Combat;+750;;
195;Shards of Narsil;Good;Combat;+750;;Rangers
196;Mighty Blade;None;Combat;+750;;N.Gondor
197;Forest Blade;Good;Combat;+750;;N.Gondor
198;Flail of Horseslayi;Evil;Combat;+500;;Long Rider
199;Guthwine;Good;Combat;+750;;Rohan
200;Mace of the Huntsma;None;Combat;+500;;RhEas
201;Runya;Good;Combat;+500;;Noldo
202;Sword of Cleaving;None;Combat;+750;;Corsairs
203;Spear of Following;None;Combat;+500;;Long Rider
204;Steward's Blade;None;Combat;+750;;N.Gondor
205;Sulhelka;None;Combat;+1000;;
206;Foam-Light Armor;None;Command;+15;;S.Gondor
207;Gulthalion;None;Command;+30;;
208;Horse-Lord's Shield;None;Command;+15;;Rohan
209;Rat Gauntlets;None;Agent;+10;;Corsairs
210;Boots of Iron;None;Command;+10;;Dwarves
211;Cloak of Protection;None;Agent;+10;;Dwarves
212;Cloak of Hiding;None;Stealth;+10;;Dwarves
213;Cloak of Valacirca;None;Stealth;+20;;Rangers
